id	Peptide IDs	Mod. Peptide IDs	Evidence IDs	MS/MS IDs	Oxidation (M) Site IDs	Phospho (STY) Site IDs	Oxidation (M) Site Positions	Phospho (STY) Site Positions	Protein IDs	Majority Protein IDs	Peptide Counts (all)	Peptide Counts (razor+unique)	Peptide Counts (unique)	Protein Names	Gene Names	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides MAPK1_E322K	Peptides MAPK1_WT	Razor + unique Peptides MAPK1_E322K	Razor + unique Peptides MAPK1_WT	Unique Peptides MAPK1_E322K	Unique Peptides MAPK1_WT	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment MAPK1_E322K	Experiment MAPK1_WT	PEP	Sequence Coverage MAPK1_E322K [%]	Sequence Coverage MAPK1_WT [%]	Intensity	Intensity MAPK1_E322K	Intensity MAPK1_WT	iBAQ	iBAQ MAPK1_E322K	iBAQ MAPK1_WT	LFQ Intensity MAPK1_E322K	LFQ Intensity MAPK1_WT	MS/MS Count MAPK1_E322K	MS/MS Count MAPK1_WT	Only identified by site	Reverse	Contaminant
27	78;200;335;467;651;939;940;1446;1469;1515	81;209;352;486;680;981;982;1494;1518;1564	181;182;183;493;494;787;788;1080;1081;1532;1533;2199;2200;2201;2202;2203;2204;2205;2206;2207;2208;2209;2210;3391;3392;3393;3437;3438;3540;3541;3542;3543	140;141;425;674;902;903;1316;1317;1318;1319;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;2918;2919;2920;2950;3029;3030;3031		50;51		17;32	CON__Q04695;Q04695;CON__Q9QWL7;CON__Q6IFX2	CON__Q04695;Q04695;CON__Q9QWL7	10;10;8;1	7;7;5;1	7;7;5;1	39.1;Cytokeratin-17;Keratin, type I cytoskeletal 17;Keratin-17	KRT17;Krt1-17;Krt17	>Q04695 SWISS-PROT:Q04695 Tax_Id=9606 Gene_Symbol=KRT17 Keratin, type I cytoskeletal 17;>Q04695|K1C17_HUMAN Keratin, type I cytoskeletal 17 |Homo sapiens;>Q9QWL7 SWISS-PROT:Q9QWL7 Tax_Id=10090 Gene_Symbol=Krt17 Keratin, type I cytoskeletal 17	4	10	7	7	10	10	7	7	7	7	20.1	13.2	13.2	48.105	432	12	13	5.8445E-154	20.1	20.1	2571400	518530	2052900	75631	15251	60380	1231900	2362100	1	2			+
28	1007	1050	2387	2042		52;53;54;55;56		1511;1514;1518;1525;1527	CON__Q5D862;Q5D862	CON__Q5D862;Q5D862	1;1	1;1	1;1	Filaggrin-2;Intermediate filament-associated and psoriasis-susceptibility protein	FLG2;IFPS	>Q5D862 SWISS-PROT:Q5D862 Tax_Id=9606 Gene_Symbol=FLG2 Filaggrin-2;>Q5D862|FILA2_HUMAN Filaggrin-2 |Homo sapiens	2	1	1	1	0	1	0	1	0	1	1.8	1.8	1.8	248.07	2391		1	0.096197	0	1.8	0	0	0	0	0	0	0	0	0	0	+		+
29	525;1259	545;1306	1215;2967;2968	1014;2561					CON__Q6NXH9	CON__Q6NXH9	2	1	1	Cytokeratin-73;Keratin, type II cytoskeletal 73;Keratin-73;Type II inner root sheath-specific keratin-K6irs3;Type-II keratin Kb36	Kb36;Krt73	>Q6NXH9 TREMBL:Q6NXH9 Tax_Id=10090 Gene_Symbol=Krt73 Keratin 73	1	2	1	1	1	2	1	1	1	1	3.7	1.7	1.7	58.911	539	1	1	0.0088581	1.7	3.7	0	0	0	0	0	0	0	0	0	0			+
30	1141;1167;1639	1187;1213;1694	2678;2679;2735;2736;3813;3814	2275;2316;3260		57;58;59		84;90;130	O00151	O00151	3	3	3	C-terminal LIM domain protein 1;Elfin;LIM domain protein CLP-36;PDZ and LIM domain protein 1	CLIM1;CLP36;PDLIM1	>O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	9.7	9.7	9.7	36.071	329	3	3	2.4031E-05	9.7	9.7	0	0	0	0	0	0	0	0	0	0			
31	1198	1244	2812	2396		60;61		291;293	O00257	O00257	1	1	1	Chromobox protein homolog 4;E3 SUMO-protein ligase CBX4;Polycomb 2 homolog	CBX4	>O00257|CBX4_HUMAN E3 SUMO-protein ligase CBX4 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.7	2.7	2.7	61.367	560		1	0.10057	0	2.7	0	0	0	0	0	0	0	0	0	0	+		
32	291;292;597;691	305;306;620;722	689;690;691;692;1403;1404;1405;1406;1640;1641	593;594;1186;1187;1188;1189;1190;1191;1405;1406;1407		62;63		57;181	O00264	O00264	4	4	4	Membrane-associated progesterone receptor component 1	HPR6.6;PGRMC;PGRMC1	>O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 |Homo sapiens	1	4	4	4	4	4	4	4	4	4	24.1	24.1	24.1	21.671	195	5	5	1.053E-64	24.1	24.1	0	0	0	0	0	0	0	0	0	0			
33	268;672	281;703	642;1593;1594	553;554;1372		64;65		666;671	O00267	O00267	2	2	2	DRB sensitivity-inducing factor 160 kDa subunit;DRB sensitivity-inducing factor large subunit;Tat-cotransactivator 1 protein;Transcription elongation factor SPT5	SPT5;SPT5H;SUPT5H	>O00267|SPT5H_HUMAN Transcription elongation factor SPT5 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	2.7	2.7	2.7	121	1087	1	2	5.9744E-17	1.2	2.7	0	0	0	0	0	0	0	0	0	0			
34	1439	1487	3375	2901;2902		66;1318		255;258	O00303	O00303	1	1	1	eIF3 p47;eIF-3-epsilon;Eukaryotic translation initiation factor 3 subunit 5;Eukaryotic translation initiation factor 3 subunit F	EIF3F;EIF3S5	>O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F |Homo sapiens	1	1	1	1	0	1	0	1	0	1	6.7	6.7	6.7	37.563	357		1	5.5026E-22	0	6.7	0	0	0	0	0	0	0	0	0	0			
35	943	986	2244	1925		67		690	O00329	O00329	1	1	1	Phosphatidylinositol-4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta;Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta isoform	PIK3CD	>O00329|PK3CD_HUMAN Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta isoform |Homo sapiens	1	1	1	1	0	1	0	1	0	1	0.9	0.9	0.9	119.48	1044		1	0.099821	0	0.9	0	0	0	0	0	0	0	0	0	0	+		
36	1266	1313	2980	2572		68		616	O00429	O00429	1	1	1	Dnm1p/Vps1p-like protein;Dynamin family member proline-rich carboxyl-terminal domain less;Dynamin-1-like protein;Dynamin-like protein;Dynamin-like protein 4;Dynamin-like protein IV;Dynamin-related protein 1	DLP1;DNM1L;DRP1	>O00429|DNM1L_HUMAN Dynamin-1-like protein |Homo sapiens	1	1	1	1	0	1	0	1	0	1	3.8	3.8	3.8	81.876	736		1	0.084971	0	3.8	0	0	0	0	0	0	0	0	0	0	+		
37	1588	1641	3710;3711	3166		69		331	O00499	O00499	1	1	1	Amphiphysin II;Amphiphysin-like protein;Box-dependent myc-interacting protein 1;Bridging integrator 1;Myc box-dependent-interacting protein 1	AMPHL;BIN1	>O00499|BIN1_HUMAN Myc box-dependent-interacting protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.2	4.2	4.2	64.699	593	1	1	0.075607	4.2	4.2	0	0	0	0	0	0	0	0	0	0	+		
38	77;476;626;882;1146	80;495;652;653;922;1192	179;180;1097;1098;1472;1473;1474;1475;1476;1477;2078;2079;2687;2688;2689;2690	139;914;915;916;917;918;1253;1254;1255;1256;1257;1258;1259;1260;1261;1262;1263;1264;1265;1266;1267;1768;2282;2283;2284;2285	4	70;71;72;73;74;75	354	38;177;272;355;392;394	O00515	O00515	5	5	5	Ladinin-1;Linear IgA disease antigen	LAD;LAD1	>O00515|LAD1_HUMAN Ladinin-1 |Homo sapiens	1	5	5	5	5	5	5	5	5	5	13.2	13.2	13.2	57.13	517	8	8	2.0201E-56	13.2	13.2	0	0	0	0	0	0	0	0	0	0			
39	752	784	1775;1776	1520;1521		76		36	O00559	O00559	1	1	1	Cancer-associated surface antigen RCAS1;Estrogen receptor-binding fragment-associated gene 9 protein;Receptor-binding cancer antigen expressed on SiSo cells	EBAG9;RCAS1	>O00559|RCAS1_HUMAN Receptor-binding cancer antigen expressed on SiSo cells |Homo sapiens	1	1	1	1	1	1	1	1	1	1	9.4	9.4	9.4	24.377	213	1	1	1.1225E-05	9.4	9.4	0	0	0	0	0	0	0	0	0	0			
40	729	761	1722;1723	1478		77;78		569;570	O00567	O00567	1	1	1	Nucleolar protein 56;Nucleolar protein 5A	NOL5A;NOP56	>O00567|NOP56_HUMAN Nucleolar protein 56 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3	3	3	66.049	594	1	1	0.0034187	3	3	0	0	0	0	0	0	0	0	0	0			
41	1219;1290	1266;1337	2861;2862;3036;3037	2452;2613		79;80		363;1182	O14497	O14497	2	2	2	AT-rich interactive domain-containing protein 1A;B120;BRG1-associated factor 250;BRG1-associated factor 250a;hELD;Osa homolog 1;SWI/SNF complex protein p270;SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1;SWI-like protein	ARID1A;BAF250;BAF250A;C1orf4;OSA1;SMARCF1	>O14497|ARI1A_HUMAN AT-rich interactive domain-containing protein 1A |Homo sapiens	1	2	2	2	2	2	2	2	2	2	1.8	1.8	1.8	242.04	2285	2	2	0.00058613	1.8	1.8	0	0	0	0	0	0	0	0	0	0			
42	547	568	1271;1272	1068;1069		81		415	O14545	O14545	1	1	1	Protein FLN29;TRAF-type zinc finger domain-containing protein 1	FLN29;TRAFD1	>O14545|TRAD1_HUMAN TRAF-type zinc finger domain-containing protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.4	2.4	2.4	64.84	582	1	1	4.352E-21	2.4	2.4	0	0	0	0	0	0	0	0	0	0			
43	1429	1477	3357	2878		82		655	O14639	O14639	1	1	1	Actin-binding double zinc finger protein;Actin-binding LIM protein 1;Actin-binding LIM protein family member 1;LIMAB1;Limatin	ABLIM;ABLIM1;KIAA0059;LIMAB1	>O14639|ABLM1_HUMAN Actin-binding LIM protein 1 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.2	1.2	1.2	87.687	778		1	0.0049116	0	1.2	0	0	0	0	0	0	0	0	0	0			
44	742	774	1756	1508		1319		16	O14683	O14683	1	1	1	p53-induced gene 11 protein;Tumor protein p53-inducible protein 11	PIG11;TP53I11	>O14683|P5I11_HUMAN Tumor protein p53-inducible protein 11 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	5.3	5.3	5.3	21.054	189		1	3.8519E-05	0	5.3	0	0	0	0	0	0	0	0	0	0			
45	502	522	1152	952		83;1320		2239;2240	O14686	O14686	1	1	1	ALL1-related protein;Histone-lysine N-methyltransferase MLL2;Lysine N-methyltransferase 2B;Myeloid/lymphoid or mixed-lineage leukemia protein 2	ALR;KMT2B;MLL2	>O14686|MLL2_HUMAN Histone-lysine N-methyltransferase MLL2 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	0.2	0.2	0.2	593.38	5537		1	1.1853E-08	0	0.2	0	0	0	0	0	0	0	0	0	0			
46	280	294	665;666	577		84		280	O14745	O14745	1	1	1	Ezrin-radixin-moesin-binding phosphoprotein 50;Na(+)/H(+) exchange regulatory cofactor NHE-RF1;Regulatory cofactor of Na(+)/H(+) exchanger;Sodium-hydrogen exchanger regulatory factor 1;Solute carrier family 9 isoform A3 regulatory factor 1	NHERF;NHERF1;SLC9A3R1	>O14745|NHRF1_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.7	4.7	4.7	38.868	358	1	1	1.5781E-15	4.7	4.7	0	0	0	0	0	0	0	0	0	0			
47	318	335	753;754	639;640		1321		173	O14782	O14782	1	1	1	Kinesin-like protein KIF3C	KIF3C	>O14782|KIF3C_HUMAN Kinesin-like protein KIF3C |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.3	1.3	1.3	89.425	793	1	1	0.019433	1.3	1.3	0	0	0	0	0	0	0	0	0	0			
48	756	788	1785;1786	1530		85		76	O14828	O14828	1	1	1	Secretory carrier-associated membrane protein 3	C1orf3;PROPIN1;SCAMP3	>O14828|SCAM3_HUMAN Secretory carrier-associated membrane protein 3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.3	2.3	2.3	38.287	347	1	1	0.056969	2.3	2.3	0	0	0	0	0	0	0	0	0	0	+		
49	179;863	188;903	441;442;2038;2039	379;1738		86		20	O14950;P19105;P24844	O14950;P19105;P24844	2;2;1	2;2;1	2;2;1	MLC-2A;Myosin regulatory light chain 12B;Myosin regulatory light chain 20 kDa;Myosin regulatory light chain 2-B, smooth muscle isoform;Myosin regulatory light chain MRLC2;SHUJUN-1;MLC-2B;Myosin regulatory light chain 12A;Myosin regulatory light chain 2, nonsarcomeric;Myosin regulatory light chain MRLC3;Myosin RLC;20 kDa myosin light chain;MLC-2C;Myosin regulatory light chain 2, smooth muscle isoform;Myosin regulatory light chain 9;Myosin regulatory light chain MRLC1;Myosin regulatory light polypeptide 9	MRLC2;MYL12B;MYLC2B;MLCB;MRLC3;MYL12A;RLC;MLC2;MRLC1;MYL9;MYRL2	>O14950|ML12B_HUMAN Myosin regulatory light chain 12B |Homo sapiens;>P19105|ML12A_HUMAN Myosin regulatory light chain 12A |Homo sapiens;>P24844|MYL9_HUMAN Myosin regulatory light polypeptide 9 |Homo sapiens	3	2	2	2	2	2	2	2	2	2	22.1	22.1	22.1	19.779	172	2	2	8.9235E-06	22.1	22.1	212590	140220	72370	19326	12747	6579.1	0	72370	1	0			
50	239;804;1016;1119;1120	249;250;837;1059;1165;1166	583;584;585;1900;1901;1902;1903;2402;2403;2630;2631;2632;2633	501;502;503;1630;1631;2055;2232;2233	5	87;88;89;1322;1323	308	299;443;445;507;696	O14974	O14974	5	5	5	Myosin phosphatase-targeting subunit 1;Protein phosphatase 1 regulatory subunit 12A;Protein phosphatase myosin-binding subunit	MBS;MYPT1;PPP1R12A	>O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A |Homo sapiens	1	5	5	5	5	5	5	5	5	5	6.7	6.7	6.7	115.28	1030	6	7	1.608E-23	6.7	6.7	0	0	0	0	0	0	0	0	0	0			
51	687	718	1628;1629;1630;1631	1399;1400		90;91		580;581	O15014	O15014	1	1	1	Zinc finger protein 609	KIAA0295;ZNF609	>O15014|ZN609_HUMAN Zinc finger protein 609 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.9	0.9	0.9	151.19	1411	2	2	0.020835	0.9	0.9	0	0	0	0	0	0	0	0	0	0			
52	309	323	726;727;728	619;620		1324		919	O15042	O15042	1	1	1	140 kDa Ser/Arg-rich domain protein;U2-associated protein SR140	KIAA0332;SR140	>O15042|SR140_HUMAN U2 snRNP-associated SURP motif-containing protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1	1	1	118.29	1029	1	2	0.065658	1	1	0	0	0	0	0	0	0	0	0	0	+		
53	1369	1417	3223;3224	2764		92		556	O15085	O15085	1	1	1	PDZ-RhoGEF;Rho guanine nucleotide exchange factor 11	ARHGEF11;KIAA0380	>O15085|ARHGB_HUMAN Rho guanine nucleotide exchange factor 11 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.4	1.4	1.4	167.7	1522	1	1	0.01968	1.4	1.4	0	0	0	0	0	0	0	0	0	0			
54	178;965;996	187;1008;1039	439;440;2294;2295;2352;2353;2354	377;378;1969;2013;2014		93;94;1325		63;452;465	O15231	O15231	3	3	3	LIM domain protein ZNF185;P1-A;Zinc finger protein 185	ZNF185	>O15231|ZN185_HUMAN Zinc finger protein 185 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	7.4	7.4	7.4	73.525	689	3	4	4.879E-40	7.4	7.4	0	0	0	0	0	0	0	0	0	0			
55	1397	1445	3283;3284	2809		95;1326;1327		140;141;143	O15234	O15234	1	1	1	Cancer susceptibility candidate gene 3 protein;Metastatic lymph node gene 51 protein;Protein barentsz;Protein CASC3	CASC3;MLN51	>O15234|CASC3_HUMAN Protein CASC3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.6	3.6	3.6	76.277	703	1	1	0.008823	3.6	3.6	0	0	0	0	0	0	0	0	0	0			
56	769	801	1811;1812	1551;1552					O15347	O15347	1	1	1	High mobility group protein 2a;High mobility group protein 4;High mobility group protein B3	HMG2A;HMG4;HMGB3	>O15347|HMGB3_HUMAN High mobility group protein B3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	11.5	11.5	11.5	22.98	200	1	1	2.3392E-56	11.5	11.5	2251000	448650	1802300	204630	40786	163850	0	1802300	1	1			
57	122;602	129;625	291;292;293;294;1415	227;228;1196		96;1328;1329		241;245;322	O15530;Q6A1A2	O15530;Q6A1A2	2;2	2;2	2;2	3-phosphoinositide-dependent protein kinase 1;Putative 3-phosphoinositide-dependent protein kinase 2	PDK1;PDPK1;PDPK2	>O15530|PDPK1_HUMAN 3-phosphoinositide-dependent protein kinase 1 |Homo sapiens;>Q6A1A2|PDPK2_HUMAN Putative 3-phosphoinositide-dependent protein kinase 2 |Homo sapiens	2	2	2	2	1	2	1	2	1	2	5	5	5	63.151	556	2	3	4.6615E-08	3.4	5	0	0	0	0	0	0	0	0	0	0			
58	231;356;364;586	241;374;382;607	570;571;832;833;853;854;1367;1368	490;491;703;715;1145		97;98;99;100;101;102		161;162;1528;1549;1564;1565	O43166	O43166	4	4	4	High-risk human papilloma viruses E6 oncoproteins targeted protein 1;Signal-induced proliferation-associated 1-like protein 1	E6TP1;KIAA0440;SIPA1L1	>O43166|SI1L1_HUMAN Signal-induced proliferation-associated 1-like protein 1 |Homo sapiens	1	4	4	4	4	4	4	4	4	4	3	3	3	200.03	1804	4	4	1.5756E-76	3	3	0	0	0	0	0	0	0	0	0	0			
59	1093	1138	2579;2580	2192;2193		103		439	O43318	O43318	1	1	1	Mitogen-activated protein kinase kinase kinase 7;Transforming growth factor-beta-activated kinase 1	MAP3K7;TAK1	>O43318|M3K7_HUMAN Mitogen-activated protein kinase kinase kinase 7 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.3	3.3	3.3	67.195	606	1	1	5.4905E-06	3.3	3.3	0	0	0	0	0	0	0	0	0	0			
60	901	942	2118;2119;2120;2121	1793;1794		104		166	O43399	O43399	1	1	1	Tumor protein D52-like 2;Tumor protein D54	TPD52L2	>O43399|TPD54_HUMAN Tumor protein D54 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.3	5.3	5.3	22.237	206	2	2	0.0068369	5.3	5.3	0	0	0	0	0	0	0	0	0	0			
61	801	834	1895;1896	1626;1627		1330		112	O43768	O43768	1	1	1	Alpha-endosulfine;ARPP-19e	ENSA	>O43768|ENSA_HUMAN Alpha-endosulfine |Homo sapiens	1	1	1	1	1	1	1	1	1	1	6.6	6.6	6.6	13.389	121	1	1	7.5056E-06	6.6	6.6	0	0	0	0	0	0	0	0	0	0			
62	1051	1094	2482;2483	2121		105		1033	O43896	O43896	1	1	1	Kinesin-like protein KIF1C	KIAA0706;KIF1C	>O43896|KIF1C_HUMAN Kinesin-like protein KIF1C |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.8	0.8	0.8	122.95	1103	1	1	0.072897	0.8	0.8	0	0	0	0	0	0	0	0	0	0	+		
63	1406	1454	3301;3302	2821		106		989	O60245	O60245	1	1	1	Brain-heart protocadherin;Protocadherin-7	BHPCDH;PCDH7	>O60245|PCDH7_HUMAN Protocadherin-7 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.2	1.2	1.2	116.07	1069	1	1	0.007205	1.2	1.2	0	0	0	0	0	0	0	0	0	0			
64	289	303	684;685;686	590;591		107		37	O60248	O60248	1	1	1	Protein SOX-12;Protein SOX-15;Protein SOX-20	SOX12;SOX15;SOX20;SOX26;SOX27	>O60248|SOX15_HUMAN Protein SOX-15 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	6.9	6.9	6.9	25.251	233	1	2	0.012343	6.9	6.9	0	0	0	0	0	0	0	0	0	0			
65	570	591	1331	1116		108		227	O60256	O60256	1	1	1	41 kDa phosphoribosypyrophosphate synthetase-associated protein;Phosphoribosyl pyrophosphate synthase-associated protein 2	PRPSAP2	>O60256|KPRB_HUMAN Phosphoribosyl pyrophosphate synthase-associated protein 2 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	7.6	7.6	7.6	40.925	369		1	0.06178	0	7.6	0	0	0	0	0	0	0	0	0	0	+		
66	1495	1544	3491;3492	2996		1331		115	O60264	O60264	1	1	1	Sucrose nonfermenting protein 2 homolog;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	SMARCA5;SNF2H;WCRF135	>O60264|SMCA5_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.7	0.7	0.7	121.9	1052	1	1	0.014212	0.7	0.7	0	0	0	0	0	0	0	0	0	0			
67	341;1463	358;1512	801;802;3427	683;2943		109		1544	O60292	O60292	2	2	2	Signal-induced proliferation-associated 1-like protein 3;SPA-1-like protein 3	KIAA0545;SIPA1L3;SPAL3	>O60292|SI1L3_HUMAN Signal-induced proliferation-associated 1-like protein 3 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	1.3	1.3	1.3	194.61	1781	1	2	0.0041325	0.7	1.3	0	0	0	0	0	0	0	0	0	0			
68	1039	1082	2458;2459	2103		110		352	O60293	O60293	1	1	1	Coiled-coil domain-containing protein 131;Proline/serine-rich coiled-coil protein 2;Zinc finger C3H1 domain-containing protein	CCDC131;KIAA0546;PSRC2;ZFC3H1	>O60293|ZC3H1_HUMAN Zinc finger C3H1 domain-containing protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.6	0.6	0.6	226.35	1989	1	1	0.040724	0.6	0.6	0	0	0	0	0	0	0	0	0	0			
69	536;639	556;667	1234;1235;1502;1503	1027;1028;1290		111;1332		529;530	O60504	O60504	2	2	2	SH3-containing adapter molecule 1;Sorbin and SH3 domain-containing protein 3;Vinexin	SCAM1;SORBS3	>O60504|VINEX_HUMAN Vinexin |Homo sapiens	1	2	2	2	2	2	2	2	2	2	2.2	2.2	2.2	75.34	671	2	2	2.5925E-16	2.2	2.2	0	0	0	0	0	0	0	0	0	0			
70	130;461;462;521;1310;1455;1562	137;480;481;541;1357;1504;1613	315;316;1067;1068;1069;1070;1204;1205;1206;1207;1208;3081;3082;3083;3084;3085;3086;3409;3410;3650;3651;3652	256;893;894;1006;1007;1008;2651;2652;2653;2654;2932;2933;3119;3120		112;113;114;115;116;1333;1334		230;252;268;310;349;868;869	O60716	O60716	7	7	7	Cadherin-associated Src substrate;Catenin delta-1;p120 catenin;p120(cas)	CTNND1;KIAA0384	>O60716|CTND1_HUMAN Catenin delta-1 |Homo sapiens	1	7	7	7	7	7	7	7	7	7	8.2	8.2	8.2	108.17	968	10	12	1.4756E-89	8.2	8.2	0	0	0	0	0	0	0	0	0	0			
71	3	4	10;11	6;7;8		117		462	O60784	O60784	1	1	1	Target of Myb protein 1	TOM1	>O60784|TOM1_HUMAN Target of Myb protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.3	5.3	5.3	53.818	492	1	1	0.00020723	5.3	5.3	0	0	0	0	0	0	0	0	0	0			
72	915;1050	957;1093	2149;2150;2480;2481	1816;2120		118;1335		468;483	O60825	O60825	2	2	2	6PF-2-K/Fru-2,6-P2ase heart-type isozyme;6-phosphofructo-2-kinase;6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2;Fructose-2,6-bisphosphatase	PFKFB2	>O60825|F262_HUMAN 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	5.9	5.9	5.9	58.476	505	2	2	0.00029535	5.9	5.9	0	0	0	0	0	0	0	0	0	0			
73	63;64;65;103	64;65;66;107	141;142;143;144;145;146;147;148;240	114;115;116;117;118;119;186		119;120;1336;1337		494;496;497;513	O60832	O60832	4	4	4	CBF5 homolog;Dyskerin;H/ACA ribonucleoprotein complex subunit 4;Nopp140-associated protein of 57 kDa;Nucleolar protein family A member 4;Nucleolar protein NAP57;snoRNP protein DKC1	DKC1;NOLA4	>O60832|DKC1_HUMAN H/ACA ribonucleoprotein complex subunit 4 |Homo sapiens	1	4	4	4	4	3	4	3	4	3	5.6	5.6	5.6	57.673	514	5	4	2.0691E-45	5.6	3.9	0	0	0	0	0	0	0	0	0	0			
74	786;887;888;1643	819;927;928;1698	1859;1860;2087;2088;2089;3821	1596;1774;1775;3266		121;122;123		113;164;214	O60841	O60841	4	4	4	Eukaryotic translation initiation factor 5B;Translation initiation factor IF-2	EIF5B;IF2;KIAA0741	>O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B |Homo sapiens	1	4	4	4	2	4	2	4	2	4	4.4	4.4	4.4	138.83	1220	2	4	3.8882E-08	3.2	4.4	0	0	0	0	0	0	0	0	0	0			
75	884	924	2082	1770		1338		242	O75113	O75113	1	1	1	NEDD4-binding protein 1	KIAA0615;N4BP1	>O75113|N4BP1_HUMAN NEDD4-binding protein 1 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.3	1.3	1.3	100.38	896		1	9.0688E-06	0	1.3	0	0	0	0	0	0	0	0	0	0			
76	808	841	1909	1636		1339		321	O75152	O75152	1	1	1	Zinc finger CCCH domain-containing protein 11A	KIAA0663;ZC3H11A;ZC3HDC11A	>O75152|ZC11A_HUMAN Zinc finger CCCH domain-containing protein 11A |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.7	1.7	1.7	89.13	810		1	3.176E-05	0	1.7	0	0	0	0	0	0	0	0	0	0			
77	71;423;693;1654	72;441;724;1709	158;159;988;989;1643;1644;3840;3841	125;836;1409;1410;3282		124;125;126;127		1505;2013;2486;2487	O75369	O75369	4	4	4	ABP-278;ABP-280 homolog;Actin-binding-like protein;Beta-filamin;Filamin homolog 1;Filamin-3;Filamin-B;Thyroid autoantigen;Truncated actin-binding protein	FLN1L;FLN3;FLNB;TABP;TAP	>O75369|FLNB_HUMAN Filamin-B |Homo sapiens	1	4	4	4	4	4	4	4	4	4	3.2	3.2	3.2	278.16	2602	4	4	1.4757E-07	3.2	3.2	2039700	1351100	688600	12992	8605.8	4386	0	688600	0	1			
78	466;869;1229	485;909;1276	1078;1079;2050;2051;2884;2885	901;1746;2469		128;129;130;131		2136;2151;2184;2187	O75376	O75376	3	3	3	Nuclear receptor corepressor 1	KIAA1047;NCOR1	>O75376|NCOR1_HUMAN Nuclear receptor corepressor 1 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	2	2	2	270.21	2440	3	3	1.7258E-05	2	2	0	0	0	0	0	0	0	0	0	0			
79	330	347	777	656		132		324	O75477	O75477	1	1	1	Endoplasmic reticulum lipid raft-associated protein 1;Erlin-1;Protein KE04;Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 1	C10orf69;ERLIN1;KE04;KEO4;SPFH1	>O75477|ERLN1_HUMAN Erlin-1 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2	2	2	38.925	346		1	0.072356	0	2	0	0	0	0	0	0	0	0	0	0	+		
